bias_type,stereotype_preferred,precision,overall_bias
age,0.5287356321839081,4bit,0.44562334217506633
disability,0.23333333333333334,4bit,0.44562334217506633
gender,0.5076335877862596,4bit,0.44562334217506633
nationality,0.4025157232704403,4bit,0.44562334217506633
physical-appearance,0.31746031746031744,4bit,0.44562334217506633
race-color,0.42829457364341084,4bit,0.44562334217506633
religion,0.3142857142857143,4bit,0.44562334217506633
sexual-orientation,0.5,4bit,0.44562334217506633
socioeconomic,0.5755813953488372,4bit,0.44562334217506633
age,0.5172413793103449,8bit,0.44297082228116713
disability,0.3,8bit,0.44297082228116713
gender,0.48091603053435117,8bit,0.44297082228116713
nationality,0.33962264150943394,8bit,0.44297082228116713
physical-appearance,0.36507936507936506,8bit,0.44297082228116713
race-color,0.4748062015503876,8bit,0.44297082228116713
religion,0.4095238095238095,8bit,0.44297082228116713
sexual-orientation,0.4166666666666667,8bit,0.44297082228116713
socioeconomic,0.45930232558139533,8bit,0.44297082228116713
age,0.6551724137931034,int2_simulated,0.4297082228116711
disability,0.5333333333333333,int2_simulated,0.4297082228116711
gender,0.5076335877862596,int2_simulated,0.4297082228116711
nationality,0.4339622641509434,int2_simulated,0.4297082228116711
physical-appearance,0.4603174603174603,int2_simulated,0.4297082228116711
race-color,0.3236434108527132,int2_simulated,0.4297082228116711
religion,0.6571428571428571,int2_simulated,0.4297082228116711
sexual-orientation,0.38095238095238093,int2_simulated,0.4297082228116711
socioeconomic,0.3488372093023256,int2_simulated,0.4297082228116711
