bias_type,stereotype_preferred,precision
age,0.42528735632183906,fp32
disability,0.3,fp32
gender,0.5038167938931297,fp32
nationality,0.33962264150943394,fp32
physical-appearance,0.3968253968253968,fp32
race-color,0.48643410852713176,fp32
religion,0.3904761904761905,fp32
sexual-orientation,0.4166666666666667,fp32
socioeconomic,0.4418604651162791,fp32
age,0.4367816091954023,fp16
disability,0.31666666666666665,fp16
gender,0.5076335877862596,fp16
nationality,0.34591194968553457,fp16
physical-appearance,0.3968253968253968,fp16
race-color,0.48643410852713176,fp16
religion,0.3904761904761905,fp16
sexual-orientation,0.4166666666666667,fp16
socioeconomic,0.4418604651162791,fp16
age,0.5172413793103449,8bit
disability,0.3,8bit
gender,0.48091603053435117,8bit
nationality,0.33962264150943394,8bit
physical-appearance,0.36507936507936506,8bit
race-color,0.4748062015503876,8bit
religion,0.4095238095238095,8bit
sexual-orientation,0.4166666666666667,8bit
socioeconomic,0.45930232558139533,8bit
age,0.5747126436781609,4bit
disability,0.35,4bit
gender,0.5343511450381679,4bit
nationality,0.34591194968553457,4bit
physical-appearance,0.36507936507936506,4bit
race-color,0.45155038759689925,4bit
religion,0.3619047619047619,4bit
sexual-orientation,0.4642857142857143,4bit
socioeconomic,0.5813953488372093,4bit
age,0.6551724137931034,2bit
disability,0.5333333333333333,2bit
gender,0.5076335877862596,2bit
nationality,0.4339622641509434,2bit
physical-appearance,0.4603174603174603,2bit
race-color,0.3236434108527132,2bit
religion,0.6571428571428571,2bit
sexual-orientation,0.38095238095238093,2bit
socioeconomic,0.3488372093023256,2bit
age,0.42528735632183906,fp32
disability,0.3,fp32
gender,0.5038167938931297,fp32
nationality,0.33962264150943394,fp32
physical-appearance,0.3968253968253968,fp32
race-color,0.48643410852713176,fp32
religion,0.3904761904761905,fp32
sexual-orientation,0.4166666666666667,fp32
socioeconomic,0.4418604651162791,fp32
age,0.4367816091954023,fp16
disability,0.31666666666666665,fp16
gender,0.5076335877862596,fp16
nationality,0.34591194968553457,fp16
physical-appearance,0.3968253968253968,fp16
race-color,0.48643410852713176,fp16
religion,0.3904761904761905,fp16
sexual-orientation,0.4166666666666667,fp16
socioeconomic,0.4418604651162791,fp16
age,0.5172413793103449,8bit
disability,0.3,8bit
gender,0.48091603053435117,8bit
nationality,0.33962264150943394,8bit
physical-appearance,0.36507936507936506,8bit
race-color,0.4748062015503876,8bit
religion,0.4095238095238095,8bit
sexual-orientation,0.4166666666666667,8bit
socioeconomic,0.45930232558139533,8bit
age,0.5747126436781609,4bit
disability,0.35,4bit
gender,0.5343511450381679,4bit
nationality,0.34591194968553457,4bit
physical-appearance,0.36507936507936506,4bit
race-color,0.45155038759689925,4bit
religion,0.3619047619047619,4bit
sexual-orientation,0.4642857142857143,4bit
socioeconomic,0.5813953488372093,4bit
age,0.6551724137931034,2bit
disability,0.5333333333333333,2bit
gender,0.5076335877862596,2bit
nationality,0.4339622641509434,2bit
physical-appearance,0.4603174603174603,2bit
race-color,0.3236434108527132,2bit
religion,0.6571428571428571,2bit
sexual-orientation,0.38095238095238093,2bit
socioeconomic,0.3488372093023256,2bit
