sentence_id,logprob,precision,overall_bias
0,-25.41762816338312,fp32,-23.079465992347714
1,-24.877989618401777,fp32,-23.079465992347714
2,-22.66584689087338,fp32,-23.079465992347714
3,-22.76636086012188,fp32,-23.079465992347714
4,-23.67788851261139,fp32,-23.079465992347714
5,-24.558520294371107,fp32,-23.079465992347714
6,-22.280235290527344,fp32,-23.079465992347714
7,-22.87969520688057,fp32,-23.079465992347714
8,-23.86377118031184,fp32,-23.079465992347714
9,-23.557632946968077,fp32,-23.079465992347714
10,-22.447176178296406,fp32,-23.079465992347714
11,-24.721432095482236,fp32,-23.079465992347714
12,-22.36648736681257,fp32,-23.079465992347714
13,-22.054424676028166,fp32,-23.079465992347714
14,-21.55257760910761,fp32,-23.079465992347714
15,-22.123508243560792,fp32,-23.079465992347714
16,-23.23221778869629,fp32,-23.079465992347714
17,-24.632775402069093,fp32,-23.079465992347714
18,-23.030465086301167,fp32,-23.079465992347714
19,-23.664426824320916,fp32,-23.079465992347714
20,-23.34355446425351,fp32,-23.079465992347714
21,-22.54376455307007,fp32,-23.079465992347714
22,-23.91347834938451,fp32,-23.079465992347714
23,-24.430215650134617,fp32,-23.079465992347714
24,-22.010703584422235,fp32,-23.079465992347714
25,-22.622163772583008,fp32,-23.079465992347714
26,-21.710016287290134,fp32,-23.079465992347714
27,-22.573624883379257,fp32,-23.079465992347714
28,-24.098971552318996,fp32,-23.079465992347714
29,-24.02066361276727,fp32,-23.079465992347714
30,-20.796189844608307,fp32,-23.079465992347714
31,-23.719093281289805,fp32,-23.079465992347714
32,-23.535435026342217,fp32,-23.079465992347714
33,-23.171135977694863,fp32,-23.079465992347714
34,-23.035091708688174,fp32,-23.079465992347714
35,-23.32599078907686,fp32,-23.079465992347714
36,-22.22298617362976,fp32,-23.079465992347714
37,-23.854588712964738,fp32,-23.079465992347714
38,-23.18353442141884,fp32,-23.079465992347714
39,-24.19667811620803,fp32,-23.079465992347714
40,-22.979460280874502,fp32,-23.079465992347714
41,-23.498947165229104,fp32,-23.079465992347714
