precision,bias_mean,bias_std,mean_delta,std_delta,num_pairs
fp32,0.4217171717171717,0.4944584873930455,-0.04854216348026442,0.2795311670794906,396
fp16,0.4217171717171717,0.4944584873930455,-0.04839184734659188,0.2798233668275422,396
8bit,0.4090909090909091,0.4922880517459565,-0.05338681253156264,0.303363990478061,396
4bit,0.44696969696969696,0.49780877736962115,-0.04921897368814579,0.3011052705466525,396
2bit,0.5227272727272727,0.5001150615594566,0.02468398605080343,0.5383486074412233,396
fp32,0.4217171717171717,0.4944584873930455,-0.04854216348026442,0.2795311670794906,396
fp16,0.4217171717171717,0.4944584873930455,-0.04839184734659188,0.2798233668275422,396
8bit,0.4090909090909091,0.4922880517459565,-0.05338681253156264,0.303363990478061,396
4bit,0.44696969696969696,0.49780877736962115,-0.04921897368814579,0.3011052705466525,396
2bit,0.5227272727272727,0.5001150615594566,0.02468398605080343,0.5383486074412233,396
